filename,arg_benchmark_name,arg_number_of_qubits,arg_simulator_type,arg_sub_backend,arg_device,arg_run_mode,arg_number_of_iterations,arg_optimization_level,timestamp,slurm_num_nodes,slurm_num_cpus,slurm_num_tasks,slurm_cluster,slurm_account,algo_depth,algo_width,algo_num_qubits,algo_num_clbits,algo_num_ops,algo_num_2q_gates,algo_num_cliffords,algo_num_non_cliffords,algo_critical_path_length,algo_connected_components,algo_num_parameters,algo_shots,algo_gate_measure,algo_gate_cx,algo_gate_h,transpile_opt_level,hw_circ_depth,hw_circ_width,hw_circ_num_ops,hw_circ_num_2q_gates,hw_circ_swaps,hw_circ_connected_components,hw_circ_connectivity_degree_max,hw_circ_connectivity_degree_avg,hw_gate_cz,hw_gate_measure,hw_gate_rz,hw_gate_sx,be_backend_name,be_backend_type,be_backend_is_simulator,exec_openmp_num_threads,exec_mpi_rank,exec_mpi_size,exec_transpile_time,depth_ratio,twoq_ratio,algo_gate_rz,algo_gate_cz,algo_gate_s,algo_gate_swap,algo_gate_rx,hw_gate_x,arg_qasm_file,algo_gate_cu,algo_gate_ccx,algo_gate_cp,algo_gate_u2,algo_gate_ry,algo_gate_p,algo_gate_barrier,hw_gate_barrier,algo_gate_reset,hw_gate_reset,hw_gate_gpi2,hw_gate_ms,hw_gate_cx,hw_gate_gpi,hw_gate_ry,hw_gate_rx,hw_gate_h
ghz_nq15_ibmq_ibm_miami_CPU_sync_itrs1_opt0_20260416T045117Z.json,ghz,15,ibmq,ibm_miami,CPU,sync,1,0.0,2026-04-16T04:51:17.315483Z,1,112,1,frontier,gen006,16,15,15.0,15,30,14,15,15,16,1,0,,15,14.0,1.0,0.0,102.0,120.0,197.0,41.0,0.0,106.0,3.0,0.23333333333333334,41.0,15.0,58.0,83.0,ibm_miami,hardware,False,1.0,0.0,1.0,1.088314349995926,6.375,2.9285714285714284,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq15_ibmq_ibm_miami_CPU_sync_itrs1_opt1_20260416T045117Z.json,ghz,15,ibmq,ibm_miami,CPU,sync,1,1.0,2026-04-16T04:51:17.317904Z,1,112,1,frontier,gen006,16,15,15.0,15,30,14,15,15,16,1,0,,15,14.0,1.0,1.0,60.0,120.0,116.0,14.0,0.0,106.0,2.0,0.23333333333333334,14.0,15.0,58.0,29.0,ibm_miami,hardware,False,1.0,0.0,1.0,1.119415060034953,3.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq15_ibmq_ibm_miami_CPU_sync_itrs1_opt2_20260416T045117Z.json,ghz,15,ibmq,ibm_miami,CPU,sync,1,2.0,2026-04-16T04:51:17.315192Z,1,112,1,frontier,gen006,16,15,15.0,15,30,14,15,15,16,1,0,,15,14.0,1.0,2.0,46.0,120.0,102.0,14.0,0.0,106.0,2.0,0.23333333333333334,14.0,15.0,44.0,29.0,ibm_miami,hardware,False,1.0,0.0,1.0,1.139644784037955,2.875,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq15_ibmq_ibm_miami_CPU_sync_itrs1_opt3_20260416T045119Z.json,ghz,15,ibmq,ibm_miami,CPU,sync,1,3.0,2026-04-16T04:51:19.829582Z,1,112,1,frontier,gen006,16,15,15.0,15,30,14,15,15,16,1,0,,15,14.0,1.0,3.0,46.0,120.0,102.0,14.0,0.0,106.0,2.0,0.23333333333333334,14.0,15.0,44.0,29.0,ibm_miami,hardware,False,1.0,0.0,1.0,4.5108119440265,2.875,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq15_nwqsim_MPI_CPU_sync_itrs1_opt0_20260419T035619Z.json,ghz,15,nwqsim,MPI,CPU,sync,1,0.0,2026-04-19T03:56:19.203590Z,1,112,1,frontier,gen006,16,15,,15,30,14,15,15,16,1,0,,15,14.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt0_20260416T144654Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,0.0,2026-04-16T14:46:54.662586Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,0.0,94.0,120.0,232.0,51.0,0.0,105.0,3.0,0.25,51.0,16.0,62.0,103.0,ibm_miami,hardware,False,1.0,0.0,1.0,1.085008149035275,5.529411764705882,3.4,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt1_20260416T144657Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,1.0,2026-04-16T14:46:57.187539Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,1.0,64.0,120.0,124.0,15.0,0.0,105.0,2.0,0.25,15.0,16.0,62.0,31.0,ibm_miami,hardware,False,1.0,0.0,1.0,1.0561541969655082,3.764705882352941,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt2_20260416T144654Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,2.0,2026-04-16T14:46:54.659448Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,2.0,49.0,120.0,109.0,15.0,0.0,105.0,2.0,0.25,15.0,16.0,47.0,31.0,ibm_miami,hardware,False,1.0,0.0,1.0,0.9281368509400636,2.8823529411764706,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt3_20260416T144655Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,3.0,2026-04-16T14:46:55.103697Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,3.0,49.0,120.0,109.0,15.0,0.0,105.0,2.0,0.25,15.0,16.0,47.0,31.0,ibm_miami,hardware,False,1.0,0.0,1.0,4.65969311108347,2.8823529411764706,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_nwqsim_MPI_CPU_sync_itrs1_opt0_20260419T035757Z.json,ghz,16,nwqsim,MPI,CPU,sync,1,0.0,2026-04-19T03:57:57.483520Z,1,112,1,frontier,gen006,17,16,,16,32,15,16,16,17,1,0,,16,15.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
